,Video,Mean,Std,Diff1,Diff2,PCAd1,PCAd2,Label
O19,T6,0.8185729764,0.2616148563,0.0212903976,0.1494021642,0.0311728392,0.1289713569,Genuine
O20,T6,0.8720436579,0.0459814224,0.0059032094,0.2488356814,0.0383426896,0.1380894141,Genuine
O1,T7,0.863423789,0.084042994,0.0055498592,0.0565297315,0.0336897998,0.121832827,Genuine
O2,T7,0.8806271736,0.0523880323,0.0027306536,0.3287826852,0.0342474347,0.1210187679,Genuine
O3,T7,0.8395024152,0.1967410499,0.0132817248,0.0748742229,0.0264220191,0.1067555303,Genuine
O4,T7,0.7971207407,0.2274772374,0.0084794261,0.0672671205,0.0321122979,0.1172802457,Genuine
O5,T7,0.9660467209,0.0152817338,0.0015923569,0.3221707924,0.0244328304,0.0774390687,Genuine
O6,T7,0.9345816408,0.0501432027,0.0088223738,0.1526092335,0.0375504262,0.1296486194,Genuine
O7,T7,0.9200302525,0.1369602249,0.0150737538,0.0871440073,0.0449747393,0.1234305386,Genuine
O8,T7,0.8483982812,0.1785563156,0.0189225349,0.1087220914,0.047760403,0.1455995436,Genuine
O9,T7,0.893070594,0.0572020477,0.0043455368,0.2433202445,0.0343249146,0.1229687031,Genuine
O10,T7,0.9383321506,0.0354408073,0.0030631453,0.1480761175,0.0348295415,0.1172726838,Genuine
O11,T7,0.8305485091,0.0726783026,0.009475133,0.1666972756,0.0348033245,0.139589533,Genuine
O12,T7,0.9358710674,0.0455407901,0.0019763345,0.2712208263,0.0338905774,0.119367873,Genuine
O13,T7,0.8976382925,0.0456575511,0.0019745222,0.2723186117,0.0335050724,0.120635837,Genuine
O14,T7,0.9582731146,0.0256297371,0.0015262276,0.294104598,0.0352705335,0.1192876308,Genuine
O15,T7,0.7747388,0.2818902895,0.0375939504,0.1744774422,0.0424794668,0.1807828581,Genuine
O16,T7,0.7597531638,0.3046298166,0.0267012852,0.1800077409,0.0341356382,0.194067798,Genuine
O17,T7,0.8726236886,0.188031091,0.014128319,0.0791452631,0.0273430332,0.1112641056,Genuine
O18,T7,0.9178785609,0.0499796829,0.0031117571,0.300208724,0.0342779524,0.1224150335,Genuine
O19,T7,0.9045703613,0.0813214716,0.0022646835,0.1898274189,0.0342274607,0.1212611645,Genuine
O20,T7,0.9019865014,0.059615762,0.0035453993,0.3068741192,0.0346062555,0.1260517859,Genuine
O1,T8,0.9210948705,0.0396235363,0.0023890536,0.3400178603,0.0426548562,0.1068809474,Genuine
O2,T8,0.699732884,0.2795946186,0.0195958853,0.126125918,0.0317142207,0.1151536483,Genuine
O3,T8,0.8981651767,0.0425520148,0.002954,0.3470477378,0.0427551671,0.1057562802,Genuine
O4,T8,0.702004998,0.3472430643,0.0341537536,0.1873134966,0.0375417596,0.1392605621,Genuine
O5,T8,0.9399577617,0.024133751,0.0018175583,0.2859774826,0.0423687245,0.1042322147,Genuine
O6,T8,0.9535600854,0.0227759317,0.0020699548,0.2073906253,0.0425382375,0.1046673179,Genuine
O7,T8,0.9112007484,0.1471447766,0.0222456708,0.1335909828,0.049752728,0.1558922254,Genuine
O8,T8,0.8823051053,0.0621094462,0.0048114024,0.3715512641,0.0410877153,0.1047523639,Genuine
O9,T8,0.9638741539,0.0205756365,0.0024000889,0.3743281347,0.0445622545,0.1048964218,Genuine
O10,T8,0.9259240916,0.0438417285,0.002004756,0.3027359886,0.0421485491,0.1035812736,Genuine
O11,T8,0.7734269545,0.1210470875,0.0196434066,0.1981515043,0.0463908677,0.1629250729,Genuine
O12,T8,0.907085034,0.0525580605,0.0021706333,0.326815661,0.0415784168,0.1060127647,Genuine
O13,T8,0.885956555,0.0818595473,0.0024148734,0.3150368238,0.0407909822,0.1054487717,Genuine
O14,T8,0.9125043932,0.0855579996,0.0075008892,0.0889210239,0.0375996614,0.1120144006,Genuine
O15,T8,0.6129719443,0.3393202356,0.0372435671,0.2133854421,0.0380635572,0.1403189199,Genuine
O16,T8,0.8232461581,0.2538456181,0.0177797704,0.1099277359,0.0338923177,0.134823522,Genuine
O17,T8,0.9293230828,0.0340589351,0.0033222219,0.2992070427,0.0439256924,0.1081306464,Genuine
O18,T8,0.9581852309,0.0361589424,0.0022721968,0.2613936322,0.0419988619,0.1047122009,Genuine
O19,T8,0.8478380945,0.1961452152,0.017329821,0.0847084951,0.0345720861,0.1328325274,Genuine
O20,T8,0.863090366,0.0681083369,0.0078518128,0.3655653962,0.0422472825,0.1129332094,Genuine
O1,T9,0.8138186293,0.1720830483,0.0116949325,0.0966797374,0.0210723739,0.1347516579,Genuine
O2,T9,0.8702490353,0.0834549678,0.0036719302,0.2919991414,0.0195042515,0.1477635298,Genuine
O3,T9,0.8826595953,0.0692855716,0.0026366194,0.2053932477,0.0204262969,0.1541368881,Genuine
O4,T9,0.9206497089,0.0576991967,0.0021859623,0.2494155323,0.0198860659,0.1508510858,Genuine
O5,T9,0.9386400102,0.1095399507,0.0098681296,0.0563010977,0.0242233992,0.1041061601,Genuine
O6,T9,0.9528942241,0.0216750911,0.0017455325,0.2630148726,0.0207852401,0.1531403637,Genuine
O7,T9,0.9310285939,0.1181098832,0.0123371081,0.0581471236,0.0244798637,0.094155409,Genuine
O8,T9,0.7990022693,0.2364898024,0.0179188403,0.1209260413,0.0228668298,0.1066220856,Genuine
O9,T9,0.9089599837,0.0566653688,0.0035520835,0.2322600009,0.0208949604,0.1645638835,Genuine
O10,T9,0.9412024544,0.0287427832,0.0020443674,0.3427359031,0.0204871578,0.1548789298,Genuine
O11,T9,0.8206449495,0.1262541606,0.016778122,0.1698802824,0.0333252427,0.23931817,Genuine
O12,T9,0.9288038992,0.0302111709,0.001414686,0.2564188996,0.0206945304,0.1556235542,Genuine
O13,T9,0.8230163257,0.1917041738,0.011659592,0.0767795805,0.0197523001,0.1169914786,Genuine
O14,T9,0.9417216051,0.0536479036,0.0015800569,0.2523338189,0.0184096224,0.1497255675,Genuine
O15,T9,0.8962646798,0.0914740174,0.0060134177,0.0373547281,0.0195562504,0.1468962632,Genuine
O16,T9,0.8758768329,0.1759412772,0.0073623445,0.0539138233,0.0181064202,0.1060494479,Genuine
O17,T9,0.9047113091,0.0555101492,0.0025461122,0.2253209024,0.0199306673,0.1547000053,Genuine
O18,T9,0.9290525799,0.0406360123,0.0029004818,0.3022390245,0.0208174489,0.1679695663,Genuine
O19,T9,0.9464930428,0.0307799181,0.0019069504,0.1684280681,0.0208704074,0.1559885636,Genuine
O20,T9,0.8860813452,0.0753731815,0.0043699694,0.3365032909,0.0191892985,0.1553928714,Genuine
O1,T10,0.8664274895,0.1563795843,0.0169711117,0.0842548228,0.0334632739,0.0858505449,Genuine
O2,T10,0.8529710454,0.0819871994,0.004130525,0.2784538278,0.0390598622,0.0640896712,Genuine
O3,T10,0.904332977,0.073557813,0.002677495,0.3092504653,0.0398430638,0.0616191683,Genuine
O4,T10,0.8935654472,0.0679089691,0.0027144638,0.3507258024,0.040784396,0.0631767757,Genuine
O5,T10,0.9445229913,0.0383236031,0.0018286766,0.2841536933,0.0420823583,0.0618496213,Genuine
O6,T10,0.9562319933,0.0213717616,0.0015315271,0.2840636663,0.0436192857,0.0621879382,Genuine
O7,T10,0.9413165586,0.0426634272,0.0024261943,0.2404941358,0.043000794,0.0625334127,Genuine
O8,T10,0.8469866606,0.1068997447,0.0156709516,0.1340928906,0.0404611866,0.0865508679,Genuine
O9,T10,0.7747923301,0.2649395004,0.0275690963,0.162749566,0.0412355081,0.095908225,Genuine
O10,T10,0.9439306676,0.0261489629,0.0030724447,0.307819652,0.0436689047,0.0640140566,Genuine
O11,T10,0.8449542935,0.0975670485,0.0155528211,0.1861972204,0.0394988232,0.0830491238,Genuine
